,ID,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,TargetAmt
22,20478,6.0,70.0,37.0,E,,Midlands,East,Gold,16000.0,2.0,0,0
23,20761,7.0,66.0,30.0,D,M,South East,S & S East,Silver,1000.0,5.0,0,0
24,23124,6.0,46.0,27.0,D,F,South East,London,Tin,0.01,8.0,0,0
25,24554,10.0,39.0,27.0,,M,Midlands,Ulster,Tin,0.01,5.0,0,0
26,24880,7.0,75.0,12.0,B,M,Midlands,East,Silver,4000.0,7.0,0,0
27,26387,8.0,72.0,27.0,,F,Midlands,Ulster,Silver,1250.0,23.0,1,1
28,27715,7.0,43.0,53.0,F,M,North,N West,Tin,0.01,5.0,1,1
29,29173,7.0,62.0,24.0,C,F,Midlands,Wales & West,Gold,20000.0,4.0,0,0
30,29440,8.0,37.0,5.0,B,M,South West,S West,Silver,1000.0,9.0,1,1
31,30600,9.0,49.0,48.0,F,F,South East,London,Tin,0.01,8.0,0,0
32,30937,8.0,79.0,32.0,D,,North,N East,Gold,6000.0,1.0,0,0
33,39330,8.0,54.0,50.0,F,M,Midlands,East,Tin,0.01,4.0,0,0
34,41092,3.0,50.0,35.0,D,F,Midlands,East,Gold,9800.0,3.0,0,0
35,41475,8.0,66.0,28.0,D,M,South East,London,Tin,0.01,11.0,0,0
36,42439,15.0,35.0,19.0,C,F,Midlands,Wales & West,Silver,1630.0,5.0,1,1
37,45799,10.0,71.0,14.0,B,F,Midlands,Wales & West,Silver,1500.0,5.0,0,0
38,46906,7.0,44.0,51.0,F,F,North,N West,Silver,1000.0,1.0,0,0
39,50237,8.0,42.0,15.0,B,M,North,N East,Tin,0.01,5.0,0,0
40,51950,9.0,68.0,8.0,B,F,South West,S West,Gold,6053.25,5.0,1,1
41,54496,9.0,31.0,32.0,D,F,North,Yorkshire,Tin,0.01,4.0,0,0
42,56073,8.0,70.0,12.0,B,F,South East,London,Gold,19053.82,15.0,0,0
43,57002,7.0,72.0,38.0,E,F,North,N East,Platinum,20526.96,3.0,0,0
44,57622,12.0,41.0,27.0,,M,Midlands,East,Tin,0.01,9.0,0,0
45,59056,9.0,37.0,52.0,F,F,North,N East,Gold,6000.0,1.0,1,1
46,59862,8.0,58.0,24.0,C,F,North,N West,Gold,10053.35,7.0,0,0
47,63002,7.0,47.0,31.0,D,F,South East,London,Silver,0.02,5.0,0,0
48,63983,8.0,71.0,37.0,E,M,Midlands,East,Silver,1000.0,6.0,0,0
49,71986,8.0,62.0,27.0,D,F,Midlands,Midlands,Silver,1000.0,5.0,1,1
50,72559,15.0,72.0,37.0,E,U,Midlands,Midlands,Gold,6340.26,12.0,0,0
51,73148,8.0,39.0,44.0,E,F,Midlands,Midlands,Silver,2241.36,4.0,1,1
52,75205,6.0,76.0,34.0,D,M,Midlands,Wales & West,Gold,12000.0,19.0,0,0
53,75469,7.0,61.0,11.0,B,F,Scottish,Border,Gold,6000.0,11.0,1,1
54,80322,6.0,53.0,32.0,D,,Midlands,Midlands,Tin,0.01,5.0,0,0
55,80608,8.0,60.0,22.0,C,M,North,Yorkshire,Silver,60.0,11.0,1,1
56,82678,15.0,42.0,52.0,F,F,South East,London,Tin,0.01,5.0,1,1
57,83852,13.0,54.0,4.0,A,F,South East,London,Silver,5000.0,4.0,0,0
58,84573,10.0,57.0,38.0,E,F,Midlands,Midlands,Silver,50.0,11.0,0,0
59,87750,6.0,45.0,51.0,F,M,Midlands,Midlands,Tin,0.01,4.0,0,0
60,89796,11.0,75.0,12.0,B,F,Midlands,East,Silver,3052.66,8.0,1,1
61,91588,8.0,37.0,38.0,E,F,North,Yorkshire,Tin,0.01,5.0,1,1
62,93564,13.0,61.0,42.0,E,U,South West,S West,Silver,3000.0,8.0,0,0
63,95036,12.0,61.0,8.0,B,F,,,Silver,1020.0,9.0,0,0
64,95982,19.0,39.0,4.0,A,F,North,Yorkshire,Tin,0.01,8.0,1,3
65,97802,7.0,55.0,27.0,,M,Midlands,Ulster,Silver,2000.0,1.0,0,0
66,102385,8.0,57.0,8.0,B,M,Scottish,C Scotland,Gold,9000.0,9.0,0,0
67,103225,13.0,18.0,22.0,C,F,South East,S & S East,Gold,6000.0,1.0,0,0
68,108413,5.0,56.0,1.0,A,U,North,N West,Silver,3000.0,8.0,0,0
69,109819,9.0,50.0,27.0,D,F,North,N East,Gold,20000.0,4.0,0,0
70,113743,8.0,54.0,51.0,F,F,North,N West,Silver,2000.0,2.0,0,0
71,117498,11.0,67.0,15.0,B,U,North,N East,Platinum,22000.0,8.0,0,0
72,118397,7.0,78.0,37.0,E,F,Midlands,Midlands,Silver,2000.0,24.0,0,0
73,121312,5.0,61.0,19.0,C,F,Midlands,Midlands,Tin,0.01,5.0,0,0
74,121495,5.0,45.0,14.0,B,,South East,London,Silver,600.0,11.0,0,0
75,124710,11.0,66.0,1.0,A,F,South East,London,Silver,2000.0,5.0,0,0
76,126098,2.0,51.0,24.0,C,U,North,Yorkshire,Gold,10000.0,5.0,0,0
77,126586,3.0,54.0,18.0,C,F,Midlands,Midlands,Gold,15000.0,1.0,0,0
78,127892,10.0,60.0,12.0,B,,North,N West,Silver,1020.0,9.0,0,0
79,129283,9.0,48.0,19.0,C,M,Midlands,East,Silver,3000.0,2.0,0,0
80,129410,8.0,53.0,24.0,C,F,South East,S & S East,Silver,100.0,1.0,0,0
81,134872,10.0,72.0,45.0,E,U,Midlands,Midlands,Gold,12000.0,8.0,1,1
82,140597,9.0,68.0,41.0,E,F,South East,London,Tin,0.01,7.0,0,0
83,144649,8.0,47.0,1.0,A,F,Scottish,N Scot,Tin,0.01,5.0,0,0
84,145157,11.0,39.0,40.0,E,F,South East,London,Silver,2800.0,1.0,1,1
85,146730,12.0,72.0,4.0,A,F,South East,London,Tin,0.01,8.0,0,0
86,148415,10.0,67.0,40.0,E,M,South East,London,Gold,6000.0,4.0,0,0
87,148849,9.0,60.0,25.0,C,F,South East,London,Tin,0.01,8.0,0,0
88,151432,6.0,54.0,30.0,D,M,North,Yorkshire,Gold,9000.0,3.0,0,0
89,154040,11.0,52.0,52.0,F,M,North,N West,Tin,0.01,9.0,0,0
90,156515,7.0,55.0,27.0,D,F,Midlands,Midlands,Tin,0.01,8.0,0,0
91,158216,14.0,65.0,27.0,,M,South East,S & S East,Gold,6053.35,6.0,0,0
92,159522,13.0,41.0,12.0,B,M,South East,London,Tin,0.01,7.0,1,1
93,162485,16.0,34.0,28.0,D,F,Midlands,East,Silver,3000.0,3.0,1,2
94,165808,6.0,40.0,32.0,D,F,North,N West,Silver,1500.0,7.0,1,1
95,168394,9.0,35.0,53.0,F,F,South East,London,Tin,0.01,4.0,1,1
96,170127,7.0,50.0,10.0,B,M,North,Yorkshire,Silver,5000.0,10.0,0,0
97,181498,6.0,62.0,1.0,A,,North,N West,Silver,3000.0,29.0,0,0
98,191396,7.0,54.0,51.0,F,M,North,Yorkshire,Tin,0.01,10.0,0,0
99,192791,9.0,60.0,16.0,C,M,Midlands,East,Gold,8100.0,5.0,0,0
100,197440,8.0,49.0,14.0,B,F,North,N West,Gold,7600.0,4.0,0,0
101,202878,6.0,57.0,53.0,F,M,Midlands,Midlands,Silver,2000.0,8.0,0,0
102,203289,7.0,52.0,51.0,F,U,Midlands,Midlands,Platinum,23053.35,6.0,0,0
103,206032,6.0,75.0,52.0,F,M,Scottish,C Scotland,Gold,10000.0,17.0,0,0
104,209732,15.0,55.0,37.0,E,,Midlands,Midlands,Gold,10000.0,6.0,0,0
105,213241,5.0,57.0,51.0,F,F,,,Gold,12000.0,1.0,0,0
106,215554,8.0,52.0,22.0,C,F,North,N West,Silver,2500.0,6.0,1,1
107,217158,12.0,74.0,3.0,A,F,Midlands,East,Gold,6000.0,5.0,0,0
108,223182,9.0,79.0,28.0,D,F,South East,London,Silver,5000.0,5.0,0,0
109,234540,6.0,48.0,32.0,D,,North,Yorkshire,Silver,420.0,4.0,0,0
110,239844,11.0,60.0,41.0,E,,South East,London,Tin,0.01,8.0,0,0
111,243051,3.0,38.0,53.0,F,F,North,N West,Silver,50.0,9.0,1,1
112,248258,9.0,58.0,10.0,B,F,North,N West,Silver,5000.0,5.0,0,0
113,249335,4.0,52.0,30.0,D,M,Midlands,Wales & West,Silver,1800.0,4.0,0,0
114,252646,3.0,45.0,47.0,F,F,North,Yorkshire,Silver,100.01,9.0,0,0
115,253839,9.0,42.0,51.0,F,F,North,N West,Silver,2000.0,4.0,0,0
116,256366,10.0,40.0,51.0,F,U,Midlands,Midlands,Silver,50.0,10.0,0,0
117,259802,5.0,55.0,35.0,D,,Midlands,Midlands,Gold,10100.0,8.0,0,0
118,262684,8.0,77.0,23.0,C,,Midlands,Midlands,Gold,6000.0,3.0,0,0
119,263419,11.0,27.0,19.0,C,F,South East,London,Tin,0.01,7.0,1,2
120,267236,4.0,60.0,37.0,E,F,North,N West,Tin,0.01,8.0,0,0
121,270962,7.0,58.0,4.0,A,U,South East,London,Silver,2500.0,5.0,0,0
122,271101,7.0,54.0,5.0,B,,Midlands,Midlands,Tin,0.01,5.0,0,0
123,274623,7.0,42.0,32.0,D,M,North,N West,Tin,0.01,4.0,0,0
124,275700,10.0,36.0,48.0,F,F,,,Silver,1000.0,9.0,1,1
125,276871,6.0,54.0,41.0,E,F,South East,London,Gold,5500.0,1.0,1,1
126,277010,4.0,57.0,31.0,D,F,South East,London,Tin,0.01,5.0,0,0
127,278661,10.0,72.0,18.0,C,F,Midlands,Midlands,Gold,11105.32,8.0,0,0
128,280895,10.0,54.0,17.0,C,F,Midlands,East,Tin,0.01,6.0,1,1
129,282057,7.0,37.0,51.0,F,F,North,N West,Tin,0.01,5.0,0,0
130,285846,9.0,76.0,51.0,F,F,Midlands,East,Silver,2000.0,8.0,1,1
131,287628,6.0,45.0,34.0,D,F,North,N West,Tin,0.01,5.0,0,0
132,288748,14.0,54.0,19.0,C,F,South East,S & S East,Gold,10000.0,8.0,0,0
133,290890,8.0,51.0,48.0,F,M,South East,London,Silver,0.02,9.0,0,0
134,293083,15.0,61.0,12.0,B,,South East,S & S East,Silver,500.0,2.0,0,0
135,293555,12.0,61.0,11.0,B,F,Scottish,N Scot,Silver,4000.0,1.0,0,0
136,295620,9.0,47.0,27.0,,M,Midlands,Ulster,Tin,0.01,5.0,0,0
137,297194,8.0,52.0,50.0,F,U,Midlands,East,Tin,0.01,8.0,0,0
138,300845,8.0,40.0,38.0,E,U,Midlands,Midlands,Silver,1000.0,1.0,0,0
139,301175,5.0,56.0,34.0,D,F,Midlands,Midlands,Tin,0.01,9.0,0,0
140,301981,8.0,51.0,47.0,F,F,North,N West,Gold,9000.01,8.0,0,0
141,310786,9.0,50.0,24.0,C,F,South East,London,Gold,12000.0,2.0,0,0
142,312169,4.0,46.0,38.0,E,,North,N West,Tin,0.01,5.0,0,0
143,312762,8.0,41.0,8.0,B,F,South East,S & S East,Silver,1675.0,7.0,1,1
144,315559,8.0,60.0,10.0,B,M,South East,London,Silver,100.01,8.0,0,0
145,315788,10.0,70.0,15.0,B,F,South East,S & S East,Silver,2250.0,8.0,0,0
146,316350,9.0,50.0,28.0,D,F,South East,London,Tin,0.01,9.0,1,1
147,317640,15.0,37.0,49.0,F,F,Midlands,Midlands,Tin,0.01,8.0,1,1
148,317950,9.0,74.0,18.0,C,F,South East,London,Silver,3000.0,5.0,0,0
149,318922,8.0,61.0,37.0,E,,South West,S West,Silver,1200.0,6.0,1,1
150,323039,8.0,49.0,4.0,A,,North,N West,Silver,4000.0,3.0,0,0
151,324469,7.0,54.0,34.0,D,F,South East,S & S East,Tin,0.01,8.0,0,0
152,331341,9.0,53.0,11.0,B,M,Scottish,C Scotland,Gold,6000.0,4.0,0,0
153,332658,4.0,54.0,34.0,D,F,Midlands,Midlands,Tin,0.01,5.0,0,0
154,335606,8.0,59.0,45.0,E,U,Scottish,Border,Silver,2500.0,7.0,0,0
155,340146,7.0,63.0,12.0,B,,North,N West,Tin,0.01,5.0,0,0
156,342033,7.0,51.0,32.0,D,F,North,N West,Silver,3026.67,10.0,0,0
157,343102,5.0,62.0,27.0,D,F,North,N West,Platinum,56053.35,7.0,0,0
158,345474,3.0,46.0,23.0,C,F,South East,S & S East,Silver,0.1,10.0,0,0
159,345865,10.0,39.0,38.0,E,M,North,Yorkshire,Gold,7500.0,2.0,1,1
160,346225,6.0,53.0,36.0,E,M,South East,S & S East,Silver,3000.0,6.0,1,1
161,346403,10.0,54.0,27.0,D,,Midlands,Midlands,Tin,0.01,5.0,0,0
162,347086,7.0,48.0,21.0,C,F,South East,London,Silver,5000.0,4.0,0,0
163,347531,7.0,62.0,12.0,B,F,South East,S & S East,Gold,12808.95,11.0,0,0
164,349291,9.0,26.0,12.0,B,M,South East,London,Silver,4000.0,1.0,0,0
165,349739,7.0,54.0,41.0,E,F,North,N East,Silver,2500.0,5.0,0,0
166,351482,6.0,43.0,41.0,E,F,South West,S West,Gold,6000.0,2.0,0,0
167,356425,7.0,78.0,41.0,E,F,Midlands,Midlands,Gold,6000.0,5.0,0,0
168,356719,3.0,67.0,19.0,C,F,Midlands,East,Gold,12049.25,3.0,0,0
169,357898,2.0,45.0,27.0,D,F,North,N West,Tin,0.01,5.0,0,0
170,358649,10.0,60.0,32.0,D,,Scottish,C Scotland,Tin,0.01,5.0,0,0
171,359955,13.0,68.0,44.0,E,F,South East,London,Gold,7500.0,6.0,0,0
172,361283,14.0,74.0,4.0,A,U,South East,S & S East,Platinum,20245.89,3.0,0,0
173,362468,5.0,53.0,35.0,D,M,Midlands,Midlands,Tin,0.01,8.0,0,0
174,369225,5.0,51.0,23.0,C,M,Scottish,C Scotland,Silver,420.0,8.0,0,0
175,369780,9.0,54.0,4.0,A,F,South East,S & S East,Platinum,25000.0,1.0,0,0
176,370398,6.0,51.0,52.0,F,F,South East,S & S East,Silver,200.0,1.0,0,0
177,370622,5.0,51.0,4.0,A,U,South East,S & S East,Silver,200.0,2.0,0,0
178,371475,11.0,36.0,21.0,C,M,South East,London,Tin,0.01,4.0,0,0
179,374644,8.0,63.0,49.0,F,F,Midlands,Wales & West,Gold,6000.0,2.0,0,0
180,375330,8.0,69.0,16.0,C,F,South East,S & S East,Silver,500.0,9.0,0,0
181,376078,11.0,40.0,32.0,D,F,Midlands,Midlands,Tin,0.01,5.0,1,1
182,380113,4.0,46.0,45.0,E,F,Midlands,Wales & West,Silver,2165.75,11.0,0,0
183,393347,8.0,46.0,34.0,D,M,South East,S & S East,Tin,0.01,8.0,0,0
184,396192,8.0,46.0,4.0,A,F,South East,S & S East,Silver,2245.0,11.0,1,1
185,397407,9.0,38.0,35.0,D,F,North,N West,Tin,0.01,5.0,1,1
186,397660,4.0,67.0,52.0,F,M,North,N West,Gold,11000.0,5.0,0,0
187,400297,11.0,73.0,53.0,F,U,North,Yorkshire,Platinum,26000.0,4.0,0,0
188,403768,5.0,53.0,11.0,B,F,Scottish,Border,Gold,9000.0,8.0,0,0
189,407364,6.0,55.0,37.0,E,F,Midlands,Midlands,Silver,5000.0,4.0,1,1
190,408964,9.0,54.0,4.0,A,F,South East,London,Silver,3000.0,8.0,0,0
191,414832,6.0,45.0,52.0,F,M,South East,London,Tin,0.01,5.0,0,0
192,418943,10.0,39.0,25.0,C,M,,,Tin,0.01,4.0,1,1
193,421979,5.0,58.0,38.0,E,F,North,N West,Silver,420.0,4.0,0,0
194,423211,8.0,33.0,35.0,D,F,North,N East,Tin,0.01,5.0,1,1
195,434671,11.0,35.0,27.0,D,M,South East,London,Tin,0.01,8.0,1,1
196,435961,4.0,71.0,4.0,A,M,North,Yorkshire,Gold,6000.0,12.0,0,0
197,439088,10.0,55.0,15.0,B,M,Scottish,Border,Tin,0.01,4.0,0,0
198,442542,8.0,57.0,27.0,D,M,South West,S West,Silver,480.0,11.0,0,0
199,454702,13.0,53.0,5.0,B,M,South East,London,Gold,6871.12,5.0,0,0
200,462705,9.0,58.0,44.0,E,F,South East,London,Silver,1500.0,19.0,0,0
201,467812,13.0,43.0,20.0,C,M,North,Yorkshire,Tin,0.01,5.0,0,0
202,473596,8.0,47.0,32.0,D,F,South East,London,Tin,0.01,5.0,0,0
203,479403,4.0,74.0,18.0,C,M,South East,S & S East,Gold,6000.0,2.0,0,0
204,481572,10.0,49.0,38.0,E,M,North,N East,Silver,5000.0,1.0,0,0
205,486701,9.0,58.0,27.0,D,F,South East,S & S East,Silver,3000.0,9.0,0,0
206,492566,8.0,56.0,27.0,D,F,Midlands,Midlands,Tin,0.01,8.0,0,0
207,498300,5.0,47.0,14.0,B,F,South East,S & S East,Gold,6000.0,1.0,0,0
208,500100,14.0,30.0,52.0,F,F,Midlands,Midlands,Silver,100.0,1.0,1,1
209,502316,3.0,68.0,30.0,D,F,South East,S & S East,Platinum,50000.0,4.0,1,1
210,503053,8.0,45.0,35.0,D,F,North,N West,Silver,1000.0,4.0,0,0
211,518069,7.0,71.0,4.0,A,F,South East,London,Gold,12000.0,6.0,0,0
212,523259,10.0,65.0,28.0,D,F,South East,S & S East,Gold,9053.35,8.0,0,0
213,528102,10.0,74.0,24.0,C,F,South East,London,Gold,19000.0,5.0,0,0
214,530042,10.0,43.0,32.0,D,F,North,N West,Tin,0.01,5.0,1,1
215,532479,11.0,44.0,42.0,E,F,South West,S West,Silver,500.0,9.0,0,0
216,543004,9.0,65.0,48.0,F,U,South East,London,Silver,3000.0,5.0,0,0
217,543683,7.0,46.0,28.0,D,M,South East,S & S East,Gold,17409.76,12.0,0,0
218,553115,8.0,29.0,52.0,F,F,Midlands,Midlands,Silver,2000.0,12.0,0,0
219,580287,7.0,53.0,20.0,C,F,Midlands,Wales & West,Tin,0.01,5.0,1,1
220,588784,9.0,64.0,37.0,E,M,Midlands,Midlands,Silver,1000.0,12.0,0,0
221,595233,10.0,49.0,30.0,D,M,South East,S & S East,Silver,3000.0,5.0,1,1
222,598453,17.0,59.0,51.0,F,F,South East,London,Gold,12000.0,8.0,1,2
223,600504,8.0,37.0,52.0,F,F,North,N West,Tin,0.01,5.0,0,0
224,601969,5.0,60.0,14.0,B,,South East,London,Gold,10000.0,2.0,0,0
225,602906,10.0,64.0,52.0,F,,North,Yorkshire,Tin,0.01,4.0,0,0
226,604011,3.0,54.0,16.0,C,F,North,N West,Silver,5000.0,4.0,0,0
227,606316,15.0,51.0,26.0,C,F,South East,London,Silver,3000.0,8.0,1,1
228,607118,8.0,47.0,27.0,,F,Midlands,Midlands,Tin,0.01,5.0,0,0
229,607444,18.0,51.0,11.0,B,F,Midlands,Wales & West,Silver,3000.0,3.0,0,0
230,608378,5.0,58.0,34.0,D,F,Scottish,C Scotland,Silver,3050.0,11.0,0,0
231,610283,9.0,46.0,1.0,A,M,South East,London,Tin,0.01,9.0,0,0
232,611662,5.0,48.0,31.0,D,U,South East,London,Tin,0.01,5.0,0,0
233,618284,15.0,54.0,41.0,E,F,Midlands,East,Silver,0.02,5.0,1,2
234,621358,4.0,61.0,19.0,C,F,Midlands,Midlands,Gold,6000.0,1.0,0,0
235,630888,9.0,38.0,17.0,C,F,Midlands,Midlands,Tin,0.01,5.0,1,1
236,633380,7.0,68.0,41.0,E,M,South East,S & S East,Gold,15000.01,6.0,0,0
237,633542,12.0,76.0,53.0,F,F,Midlands,Wales & West,Gold,6000.0,2.0,0,0
238,641022,4.0,56.0,32.0,D,F,North,Yorkshire,Tin,0.01,8.0,0,0
239,642568,8.0,73.0,2.0,A,M,North,N East,Silver,360.0,1.0,1,1
240,649007,8.0,37.0,33.0,D,F,Midlands,Midlands,Tin,0.01,9.0,1,1
241,653500,8.0,32.0,25.0,C,F,Midlands,Midlands,Silver,2500.0,1.0,1,1
242,663603,11.0,74.0,1.0,A,F,South East,London,Silver,3350.0,4.0,0,0
243,666238,9.0,65.0,30.0,D,M,North,Yorkshire,Gold,6107.64,5.0,0,0
244,667692,5.0,60.0,37.0,E,F,Midlands,Midlands,Silver,5000.0,2.0,0,0
245,669067,10.0,35.0,30.0,D,F,Scottish,C Scotland,Silver,1500.0,4.0,0,0
246,672785,6.0,46.0,23.0,C,F,Scottish,N Scot,Gold,6544.99,1.0,0,0
247,674885,3.0,46.0,37.0,E,F,South East,London,Gold,6000.0,5.0,0,0
248,682144,5.0,70.0,41.0,E,F,South East,London,Platinum,21684.94,0.0,0,0
249,691178,9.0,37.0,27.0,,M,Midlands,Ulster,Gold,10000.0,11.0,1,1
250,693847,4.0,46.0,8.0,B,U,South East,S & S East,Gold,6000.0,3.0,0,0
251,708569,3.0,68.0,43.0,E,U,Scottish,C Scotland,Silver,4000.0,18.0,0,0
252,711616,10.0,54.0,8.0,B,U,Midlands,Midlands,Platinum,50000.0,4.0,0,0
253,714054,11.0,54.0,32.0,D,U,Midlands,Wales & West,Silver,5000.0,5.0,0,0
254,723185,12.0,49.0,37.0,E,F,South East,London,Silver,3000.0,3.0,0,0
255,734446,4.0,63.0,38.0,E,F,Midlands,Midlands,Silver,3026.67,7.0,0,0
256,741779,4.0,62.0,8.0,B,U,Midlands,Midlands,Silver,5000.0,5.0,0,0
257,742880,5.0,54.0,37.0,E,F,South East,S & S East,Gold,10000.0,7.0,1,1
258,745421,5.0,62.0,34.0,D,,Midlands,East,Silver,0.02,8.0,0,0
259,749044,5.0,74.0,22.0,C,U,North,N East,Gold,6000.0,1.0,0,0
260,750840,5.0,52.0,27.0,,F,South East,S & S East,Tin,0.01,5.0,0,0
261,755931,8.0,42.0,10.0,B,F,North,N West,Tin,0.01,4.0,0,0
262,760641,8.0,74.0,28.0,D,,Midlands,Midlands,Gold,6000.0,17.0,1,1
263,764876,7.0,43.0,32.0,D,F,South East,S & S East,Tin,0.01,5.0,0,0
264,770264,8.0,64.0,25.0,C,F,South East,London,Gold,12000.0,2.0,0,0
265,775258,12.0,31.0,44.0,E,F,North,N West,Silver,1100.0,9.0,0,0
266,778176,11.0,41.0,27.0,D,F,North,N East,Silver,1000.0,5.0,0,0
267,779199,9.0,45.0,51.0,F,F,Midlands,Wales & West,Tin,0.01,8.0,0,0
268,794872,8.0,67.0,25.0,C,,South East,London,Gold,10000.01,2.0,0,0
269,795267,17.0,54.0,1.0,A,F,South East,London,Silver,1000.0,13.0,1,2
270,796026,9.0,40.0,21.0,C,F,South East,London,Tin,0.01,5.0,0,0
271,802069,7.0,70.0,5.0,B,F,South East,S & S East,Gold,12000.0,2.0,0,0
272,804061,20.0,54.0,16.0,C,F,South East,S & S East,Silver,480.0,1.0,1,2
273,806994,6.0,56.0,52.0,F,,Midlands,Midlands,Tin,0.01,5.0,0,0
274,807877,8.0,54.0,13.0,B,F,South East,London,Gold,8053.35,1.0,0,0
275,811831,15.0,32.0,52.0,F,,North,Yorkshire,Tin,0.01,5.0,1,3
276,819301,10.0,51.0,27.0,,M,Midlands,Ulster,Silver,1000.0,6.0,0,0
277,823066,8.0,65.0,10.0,B,,South East,London,Silver,50.0,7.0,0,0
278,823961,8.0,52.0,51.0,F,F,Midlands,Wales & West,Gold,6000.0,2.0,0,0
279,826758,8.0,54.0,25.0,C,F,Scottish,C Scotland,Gold,6000.0,2.0,1,1
280,827614,6.0,38.0,38.0,E,F,South East,S & S East,Tin,0.01,9.0,1,1
281,830380,8.0,43.0,32.0,D,F,South East,London,Silver,50.0,10.0,0,0
282,835404,7.0,37.0,44.0,E,M,North,N West,Tin,0.01,5.0,0,0
283,836222,7.0,42.0,22.0,C,M,Scottish,N Scot,Tin,0.01,5.0,0,0
284,841013,4.0,22.0,2.0,A,U,Midlands,Midlands,Gold,6000.0,3.0,0,0
285,842486,8.0,31.0,44.0,E,U,Midlands,East,Tin,0.01,8.0,0,0
286,848085,15.0,33.0,6.0,B,F,North,N West,Silver,0.02,7.0,1,2
287,851396,9.0,54.0,51.0,F,M,South East,London,Silver,600.0,7.0,0,0
288,853291,8.0,31.0,49.0,F,,Midlands,Midlands,Silver,5000.0,1.0,0,0
289,856916,8.0,54.0,34.0,D,M,Scottish,C Scotland,Gold,12000.0,8.0,0,0
290,861820,5.0,54.0,18.0,C,F,South East,S & S East,Silver,1000.0,2.0,0,0
291,870307,9.0,53.0,10.0,B,M,North,Yorkshire,Gold,6000.0,3.0,0,0
292,871095,16.0,37.0,53.0,F,F,North,Yorkshire,Tin,0.01,5.0,1,2
293,875694,8.0,63.0,28.0,D,,South West,S West,Gold,6000.0,2.0,0,0
294,876623,3.0,33.0,27.0,,M,North,N West,Tin,0.01,5.0,0,0
295,878812,7.0,65.0,12.0,B,F,South East,London,Tin,0.01,8.0,0,0
296,889199,14.0,39.0,38.0,E,F,Midlands,Midlands,Silver,50.0,10.0,1,1
297,897485,9.0,42.0,47.0,F,F,Scottish,C Scotland,Gold,6000.0,2.0,1,1
298,899186,6.0,67.0,37.0,E,M,North,Yorkshire,Silver,3000.0,8.0,0,0
299,903191,11.0,43.0,52.0,F,F,Midlands,Midlands,Tin,0.01,5.0,1,1
300,908584,9.0,54.0,23.0,C,M,North,N West,Gold,6000.0,6.0,0,0
301,909459,8.0,50.0,19.0,C,F,South East,S & S East,Silver,0.02,9.0,0,0
302,910007,5.0,70.0,8.0,B,,Midlands,Midlands,Gold,12000.0,5.0,0,0
303,918237,13.0,58.0,28.0,D,F,Midlands,Midlands,Tin,0.01,8.0,0,0
304,919551,13.0,50.0,27.0,,F,,,Tin,0.01,5.0,1,1
305,922366,7.0,78.0,27.0,,F,Midlands,Ulster,Silver,1250.0,5.0,0,0
306,929506,5.0,79.0,12.0,B,M,Midlands,East,Gold,6000.0,8.0,0,0
307,935530,8.0,68.0,1.0,A,F,South East,London,Silver,800.0,8.0,1,1
